mechanism_id,reaction_index,reaction_equation,normalized_flame_speed_sensitivity,absolute_sensitivity,absolute_rank,reaction_family,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,flame_speed_m_per_s
Konnov_2026,11,H + O2 <=> O + OH,0.8008783106246457,0.8008783106246457,1,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,151,H + NH2 (+M) <=> NH3 (+M),-0.25572443298359265,0.25572443298359265,2,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,8,H + O2 (+M) <=> HO2 (+M),-0.23112666358870348,0.23112666358870348,3,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,134,NH2 + NO <=> NNH + OH,0.09020658515205135,0.09020658515205135,4,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,12,H2 + OH <=> H + H2O,0.07799912604460127,0.07799912604460127,5,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,144,NH + NH2 <=> H + tHNNH,0.07254865597246153,0.07254865597246153,6,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,10,H2 + O <=> H + OH,0.06166290267915629,0.06166290267915629,7,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,157,NH3 + OH <=> H2O + NH2,-0.04564993614953232,0.04564993614953232,8,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,7,H2O + H2O <=> H + OH + H2O,-0.04386030277007506,0.04386030277007506,9,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,118,NH2 + O <=> H + HNO,-0.0427710295348695,0.0427710295348695,10,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,13,2 OH <=> H2O + O,0.03770938376645585,0.03770938376645585,11,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,145,NH + NH2 <=> H + cHNNH,0.033930830024059166,0.033930830024059166,12,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,85,NH + OH <=> H + HNO,-0.029682544930651,0.029682544930651,13,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,347,N2O (+M) <=> N2 + O (+M),0.028904656124912862,0.028904656124912862,14,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,354,H + N2O <=> NH + NO,-0.028788530445799335,0.028788530445799335,15,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,121,NH2 + OH <=> H2O + NH,0.026297945443930517,0.026297945443930517,16,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,296,H + HNO <=> H2 + NO,-0.025095270609711017,0.025095270609711017,17,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
