design_id,dataset_id,campaign_id,doi,mechanism_id,experimental_m_per_s,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,apparatus,status,simulated_m_per_s,relative_error,converged,failure_reason,grid_points,transport_model,soret_enabled,runtime_s
lbv_0001,x20199018:gdg1:p5:laminar burning velocity,campaign_0ddb81cb8c2a,10.1016/j.fuel.2020.118425,Shrestha_timeout_smoke,0.7690000000000001,303.0,100000.0,1.0,0.0,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0005,x20199024:gdg1:p4:laminar burning velocity,campaign_0ddb81cb8c2a,10.1016/j.fuel.2020.118425,Shrestha_timeout_smoke,0.648,393.0,100000.0,1.4,0.0,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0009,x20100010:gdg1:p2:laminar burning velocity,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,Shrestha_timeout_smoke,0.3879999999999999,298.0,101325.0,1.25,0.4,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0013,x20100082:gdg1:p5:laminar burning velocity,campaign_16f8038c5740,10.1016/j.ijhydene.2021.09.188,Shrestha_timeout_smoke,0.5650000000000001,368.0,101325.0,1.1,0.2222212196032561,flame cone method; modified Bunsen burner,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0017,x20100075:gdg1:p4:laminar burning velocity,campaign_56edf2653b54,10.1016/j.combustflame.2021.111472,Shrestha_timeout_smoke,0.0796,298.0,1013250.0,1.4,0.4,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0021,x20199012:gdg1:p10:laminar burning velocity,campaign_5d95bed2df87,10.1016/j.combustflame.2019.08.033,Shrestha_timeout_smoke,0.1728,298.0,101325.0,1.5,0.0,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0025,x20199014:gdg1:p1:laminar burning velocity,campaign_5d95bed2df87,10.1016/j.combustflame.2019.08.033,Shrestha_timeout_smoke,0.0707,298.0,506625.0,0.6,0.0,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0029,x20100071:gdg1:p1:laminar burning velocity,campaign_629a30b39091,10.1016/j.combustflame.2021.111753,Shrestha_timeout_smoke,0.1441,298.0,500000.0,1.0,0.3076908537622621,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0033,x20100005:gdg1:p3:laminar burning velocity,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,Shrestha_timeout_smoke,1.595,298.0,101325.0,1.0,0.8563219731689026,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0037,x20199002:gdg1:p5:laminar burning velocity,campaign_9268c5c9de04,10.1016/j.fuel.2015.06.070,Shrestha_timeout_smoke,0.054,298.0,100000.0,1.2,0.0,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0041,x20199050:gdg1:p2:laminar burning velocity,campaign_a1e35abfc26f,10.1299/transjsme.14-00423,Shrestha_timeout_smoke,0.217,298.0,101325.0,0.95,0.0,flame cone method; slot burner,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0045,x20199051:gdg1:p1:laminar burning velocity,campaign_a1e35abfc26f,10.1299/transjsme.14-00423,Shrestha_timeout_smoke,0.228,298.0,101325.0,0.8,0.0,flame cone method; slot burner,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0049,x20100024:gdg1:p1:laminar burning velocity,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,Shrestha_timeout_smoke,0.141,298.0,300000.0,0.6,0.5000012004023748,heat flux burner; premixed,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0053,x20100012:gdg1:p9:laminar burning velocity,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,Shrestha_timeout_smoke,2.108,298.0,100000.0,1.0,1.0,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0057,x20100069:gdg1:p1:laminar burning velocity,campaign_b61f71c9265e,10.1016/j.proci.2020.06.197,Shrestha_timeout_smoke,0.0774,476.0,955000.0,1.1,0.0,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0061,x20100045:gdg1:p4:laminar burning velocity,campaign_b661f10f22f4,10.1016/j.fuel.2019.116653,Shrestha_timeout_smoke,0.322,373.0,100000.0,1.1,0.2222212503553388,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0065,x20199031:gdg1:p7:laminar burning velocity,campaign_b661f10f22f4,10.1016/j.fuel.2019.116653,Shrestha_timeout_smoke,0.125,473.0,100000.0,1.4,0.0,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0069,x20199005:gdg1:p1:laminar burning velocity,campaign_bc661b9f179a,10.1016/j.combustflame.2019.05.003,Shrestha_timeout_smoke,0.03,298.0,101325.0,0.85,0.0,heat flux burner; premixed,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0073,x20100080:gdg1:p1:laminar burning velocity,campaign_c05311ec8444,10.1016/j.ijhydene.2021.07.063,Shrestha_timeout_smoke,0.125,360.0,100000.0,1.0,0.068965834890387,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
lbv_0077,x20199006:gdg1:p4:laminar burning velocity,campaign_ccb03cfde00c,10.1016/j.jhazmat.2018.09.073,Shrestha_timeout_smoke,0.687,298.0,50662.5,1.3,0.0,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 2 s,0,multicomponent,True,2.0
