"design_id","dataset_id","campaign_id","doi","laboratory","apparatus","observable","value","unit","uncertainty","uncertainty_type","temperature_K","pressure_Pa","equivalence_ratio","cracking_ratio","fuel_composition","oxidizer_composition","definition","source_location","digitized","quality_status","exclusion_reason","source_file","file_doi","experiment_type","residence_time_s","time_s","reported_value","reported_unit","curator","initial_composition"
"lbv_0004","x20199024:gdg1:p2:laminar burning velocity","campaign_0ddb81cb8c2a","10.1016/j.fuel.2020.118425","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.529","m/s","0.01726","evaluated standard deviation:absolute:m/s","333.0","100000.0","1.4","0.0","{""NH3"": 0.528302}","{""N2"": 0.188679, ""O2"": 0.283019}","Sl","location: Main article and Supp. Mat.; table: Supp. Mat. mmc1, Initial temperature worksheet, phi = 1.4, omega = 0.6; figure: Fig. 5., omega = 0.6","False","pending_manual_review","","x20199024.xml","10.24388/x20199024","laminar burning velocity measurement","","","52.9","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.188679, ""NH3"": 0.528302, ""O2"": 0.283019}"
"lbv_0008","x20100009:gdg1:p2:laminar burning velocity","campaign_11f336e77db5","10.1016/j.ijhydene.2009.11.071","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.233","m/s","0.0164799999999999","evaluated standard deviation:absolute:m/s","298.0","101325.0","1.0","0.2222208348031304","{""H2"": 0.071186, ""NH3"": 0.166102}","{""N2"": 0.602542, ""O2"": 0.160169}","Sl","location: Main article; figure: Fig. 5. - phi = 1.00","False","pending_manual_review","","x20100009.xml","10.24388/x20100009","laminar burning velocity measurement","","","23.3","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.071186, ""N2"": 0.602542, ""NH3"": 0.166102, ""O2"": 0.160169}"
"lbv_0012","x20100082:gdg1:p3:laminar burning velocity","campaign_16f8038c5740","10.1016/j.ijhydene.2021.09.188","","flame cone method; modified Bunsen burner","laminar burning velocity","0.569","m/s","0.04297","evaluated standard deviation:absolute:m/s","368.0","101325.0","0.9","0.2222216460901082","{""H2"": 0.085714, ""NH3"": 0.2}","{""N2"": 0.5, ""O2"": 0.214286}","Sl","location: Main article; figure: Fig. 1., symbols","False","pending_manual_review","","x20100082.xml","10.24388/x20100082","laminar burning velocity measurement","","","56.9","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.085714, ""N2"": 0.5, ""NH3"": 0.2, ""O2"": 0.214286}"
"lbv_0016","x20100073:gdg1:p4:laminar burning velocity","campaign_56edf2653b54","10.1016/j.combustflame.2021.111472","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.3027","m/s","0.0141999999999999","evaluated standard deviation:absolute:m/s","298.0","202650.0","1.1","0.4","{""H2"": 0.129122, ""NH3"": 0.129122}","{""N2"": 0.595025, ""O2"": 0.14673}","Sl","location: Main article and Supp. Mat.; table: Supp. Mat., SSM#2-Experimental data, gamma = 40%, Pu = 2 atm; figure: Fig. 4., green circles","False","pending_manual_review","","x20100073.xml","10.24388/x20100073","laminar burning velocity measurement","","","30.27","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.129122, ""N2"": 0.595025, ""NH3"": 0.129122, ""O2"": 0.14673}"
"lbv_0020","x20100078:gdg1:p1:laminar burning velocity","campaign_56edf2653b54","10.1016/j.combustflame.2021.111472","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.057","m/s","0.00545","evaluated standard deviation:absolute:m/s","298.0","506625.0","1.0","0.0999995328579903","{""H2"": 0.03211, ""NH3"": 0.192661}","{""N2"": 0.614679, ""O2"": 0.16055}","Sl","location: Main article and Supp. Mat.; table: Supp. Mat., SSM#2-Experimental data, phi = 1.0, Pu = 5 atm; figure: Fig. 5., red triangles","False","pending_manual_review","","x20100078.xml","10.24388/x20100078","laminar burning velocity measurement","","","5.7","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.03211, ""N2"": 0.614679, ""NH3"": 0.192661, ""O2"": 0.16055}"
"lbv_0024","x20199014:gdg1:p10:laminar burning velocity","campaign_5d95bed2df87","10.1016/j.combustflame.2019.08.033","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.1331","m/s","0.005","evaluated standard deviation:absolute:m/s","298.0","506625.0","1.5","0.0","{""NH3"": 0.411765}","{""N2"": 0.382353, ""O2"": 0.205882}","Sl","location: Main article and Supp. Mat.; table: Supp. Mat. mmc2, NH3-35%O2-65%N2, P = 5 atm; figure: Fig. 6. c) squares","False","pending_manual_review","","x20199014.xml","10.24388/x20199014","laminar burning velocity measurement","","","13.31","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.382353, ""NH3"": 0.411765, ""O2"": 0.205882}"
"lbv_0028","x20100070:gdg1:p8:laminar burning velocity","campaign_629a30b39091","10.1016/j.combustflame.2021.111753","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.1084","m/s","0.005","evaluated standard deviation:absolute:m/s","298.0","100000.0","1.8","0.3076923076923077","{""H2"": 0.147082, ""NH3"": 0.220623}","{""N2"": 0.499514, ""O2"": 0.132782}","Sl","location: Main article and Supp. Mat.; table: Supp. Mat., S4, 0.1 MPa; figure: Fig. 4. a), full black squares (present study, non-linear)","False","pending_manual_review","","x20100070.xml","10.24388/x20100070","laminar burning velocity measurement","","","10.84","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.147082, ""N2"": 0.499514, ""NH3"": 0.220623, ""O2"": 0.132782}"
"lbv_0032","x20100004:gdg1:p5:laminar burning velocity","campaign_6f2c5118f885","10.1016/j.ijhydene.2010.07.104","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.331","m/s","0.01976","evaluated standard deviation:absolute:m/s","298.0","101325.0","0.6","0.6087429790569078","{""H2"": 0.125829, ""NH3"": 0.053916}","{""N2"": 0.648001, ""O2"": 0.172253}","Sl","location: Main article; figure: Fig. 2 - bottom graph, phi = 0.60","False","pending_manual_review","","x20100004.xml","10.24388/x20100004","laminar burning velocity measurement","","","33.1","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.125829, ""N2"": 0.648001, ""NH3"": 0.053916, ""O2"": 0.172253}"
"lbv_0036","x20199002:gdg1:p1:laminar burning velocity","campaign_9268c5c9de04","10.1016/j.fuel.2015.06.070","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.021","m/s","0.005","evaluated standard deviation:absolute:m/s","298.0","100000.0","0.8","0.0","{""NH3"": 0.183007}","{""N2"": 0.645425, ""O2"": 0.171569}","Sl","location: Main article; figure: Main article, Fig. 8, blue circle (0.1 MPa)","False","pending_manual_review","","x20199002.xml","10.24388/x20199002","laminar burning velocity measurement","","","2.1","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.645425, ""NH3"": 0.183007, ""O2"": 0.171569}"
"lbv_0040","x20199004:gdg1:p4:laminar burning velocity","campaign_9268c5c9de04","10.1016/j.fuel.2015.06.070","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.045","m/s","0.005","evaluated standard deviation:absolute:m/s","298.0","500000.0","1.2","0.0","{""NH3"": 0.251497}","{""N2"": 0.591317, ""O2"": 0.157186}","Sl","location: Main article; figure: Main article, Fig. 8, red square (0.5 MPa)","False","pending_manual_review","","x20199004.xml","10.24388/x20199004","laminar burning velocity measurement","","","4.5","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.591317, ""NH3"": 0.251497, ""O2"": 0.157186}"
"lbv_0044","x20199050:gdg1:p8:laminar burning velocity","campaign_a1e35abfc26f","10.1299/transjsme.14-00423","","flame cone method; slot burner","laminar burning velocity","0.114","m/s","0.00731","evaluated standard deviation:absolute:m/s","298.0","101325.0","1.4","0.0","{""NH3"": 0.343257}","{""N2"": 0.472855, ""O2"": 0.183888}","Sl","location: Main article; figure: Fig. 4., omega = 0.28 (full squares)","False","pending_manual_review","","x20199050.xml","10.24388/x20199050","laminar burning velocity measurement","","","11.4","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.472855, ""NH3"": 0.343257, ""O2"": 0.183888}"
"lbv_0048","x20100024:gdg1:p15:laminar burning velocity","campaign_aacd4964efeb","10.1016/j.combustflame.2020.08.004","","heat flux burner; premixed","laminar burning velocity","0.25","m/s","0.00603","evaluated standard deviation:absolute:m/s","298.0","300000.0","1.6","0.5","{""H2"": 0.215385, ""NH3"": 0.14359}","{""N2"": 0.50641, ""O2"": 0.134615}","Sl","location: Main article and Supp. Mat.; table: Supp. Mat.: Table S4, P = 0.3 MPa; figure: Fig. 3. c), xNH3 = 0.4, P = 3 atm","False","pending_manual_review","","x20100024.xml","10.24388/x20100024","laminar burning velocity measurement","","","25.0","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.215385, ""N2"": 0.50641, ""NH3"": 0.14359, ""O2"": 0.134615}"
"lbv_0052","x20100012:gdg1:p7:laminar burning velocity","campaign_b5091ed74b6b","10.1016/j.ijhydene.2015.04.024","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.637","m/s","0.0556","evaluated standard deviation:absolute:m/s","298.0","100000.0","1.0","0.5","{""H2"": 0.155556, ""NH3"": 0.103704}","{""N2"": 0.585185, ""O2"": 0.155556}","Sl","location: Main article; table: Table 1 (Pi = 0.1 MPa) - inlet mixture composition; figure: Fig. 5.","False","pending_manual_review","","x20100012.xml","10.24388/x20100012","laminar burning velocity measurement","","","63.7","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.155556, ""N2"": 0.585185, ""NH3"": 0.103704, ""O2"": 0.155556}"
"lbv_0056","x20100066:gdg1:p1:laminar burning velocity","campaign_b61f71c9265e","10.1016/j.proci.2020.06.197","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.3148","m/s","0.005","evaluated standard deviation:absolute:m/s","470.0","294000.0","1.1","0.2222212503553388","{""H2"": 0.076218, ""NH3"": 0.177843}","{""N2"": 0.590038, ""O2"": 0.155901}","Sl","location: Main article and Supp. Mat.; table: Supp. Mat., NH3-H2-air, P = 3 bar, xH2 = 30%; figure: Fig. 3. b), xH2 = 30%","False","pending_manual_review","","x20100066.xml","10.24388/x20100066","laminar burning velocity measurement","","","31.48","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.076218, ""N2"": 0.590038, ""NH3"": 0.177843, ""O2"": 0.155901}"
"lbv_0060","x20199043:gdg1:p2:laminar burning velocity","campaign_b61f71c9265e","10.1016/j.proci.2020.06.197","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.1182","m/s","0.00507","evaluated standard deviation:absolute:m/s","373.0","100000.0","1.1","0.0","{""NH3"": 0.235474}","{""N2"": 0.603976, ""O2"": 0.16055}","Sl","location: Main article and Supp. Mat.; table: Supp. Mat., NH3-O2-N2, P = 1 bar, T = 373 K, xO2 = 21%; figure: Fig. 6. c), xO2 = 21%","False","pending_manual_review","","x20199043.xml","10.24388/x20199043","laminar burning velocity measurement","","","11.82","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.603976, ""NH3"": 0.235474, ""O2"": 0.16055}"
"lbv_0064","x20199027:gdg1:p1:laminar burning velocity","campaign_b661f10f22f4","10.1016/j.fuel.2019.116653","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.046","m/s","0.00635","evaluated standard deviation:absolute:m/s","298.0","100000.0","0.9","0.0","{""NH3"": 0.200512}","{""N2"": 0.632395, ""O2"": 0.167093}","Sl","location: Main article and Supp. Mat.; table: Supp. Mat., T = 298 K, xH2 = 0; figure: Fig. 4. a), T = 298 K, xH2 = 0","False","pending_manual_review","","x20199027.xml","10.24388/x20199027","laminar burning velocity measurement","","","4.6","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.632395, ""NH3"": 0.200512, ""O2"": 0.167093}"
"lbv_0068","x20100022:gdg1:p1:laminar burning velocity","campaign_bc661b9f179a","10.1016/j.combustflame.2019.05.003","","heat flux burner; premixed","laminar burning velocity","0.13","m/s","0.005","evaluated standard deviation:absolute:m/s","298.0","101325.0","0.7","0.3076932701350644","{""H2"": 0.073777, ""NH3"": 0.110665}","{""N2"": 0.644291, ""O2"": 0.171267}","Sl","location: Main Article (figure) and Supp. Mat. (data source); figure: Fig. 6., xH2 = 0.40","False","pending_manual_review","","x20100022.xml","10.24388/x20100022","laminar burning velocity measurement","","","13.0","cm/s","Andras Gy. Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.073777, ""N2"": 0.644291, ""NH3"": 0.110665, ""O2"": 0.171267}"
"lbv_0072","x20100079:gdg1:p1:laminar burning velocity","campaign_c05311ec8444","10.1016/j.ijhydene.2021.07.063","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.055","m/s","0.005","evaluated standard deviation:absolute:m/s","360.0","100000.0","0.5","0.1428571428571428","{""H2"": 0.026087, ""NH3"": 0.104348}","{""N2"": 0.686957, ""O2"": 0.182609}","Sl","location: Main article; table: Table 2, P0 = 0.1 MPa, xH2 = 20%; figure: Fig. 9., black squares","False","pending_manual_review","","x20100079.xml","10.24388/x20100079","laminar burning velocity measurement","","","5.5","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.026087, ""N2"": 0.686957, ""NH3"": 0.104348, ""O2"": 0.182609}"
"lbv_0076","x20199006:gdg1:p1:laminar burning velocity","campaign_ccb03cfde00c","10.1016/j.jhazmat.2018.09.073","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","0.737","m/s","0.05976","evaluated standard deviation:absolute:m/s","298.0","50662.5","0.5","0.0","{""NH3"": 0.4}","{""O2"": 0.6}","Sl","location: Main article; table: Table 1, P = 0.5 atm - inlet mixture composition; figure: Fig. 7., P = 0.5 atm (triangles)","False","pending_manual_review","","x20199006.xml","10.24388/x20199006","laminar burning velocity measurement","","","73.7","cm/s","András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""NH3"": 0.4, ""O2"": 0.6}"
"lbv_0080","x20199008:gdg1:p5:laminar burning velocity","campaign_ccb03cfde00c","10.1016/j.jhazmat.2018.09.073","","outwardly propagating spherical flame; constant volume combustion chamber","laminar burning velocity","1.044","m/s","0.13374","evaluated standard deviation:absolute:m/s","298.0","101325.0","1.0","0.0","{""NH3"": 0.571429}","{""O2"": 0.428571}","Sl","location: Main article; table: Table 1, P = 1.0 atm - inlet mixture composition; figure: Fig. 7., P = 1.0 atm (circles)","False","pending_manual_review","","x20199008.xml","10.24388/x20199008","laminar burning velocity measurement","","","104.4","cm/s","Andras Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""NH3"": 0.571429, ""O2"": 0.428571}"
